#string_protein_id	preferred_name	protein_size	annotation
59689.Al_scaffold_0001_2604	Al_scaffold_0001_2604	233	Predicted protein
59689.Al_scaffold_0001_2606	Al_scaffold_0001_2606	101	Predicted protein
59689.Al_scaffold_0001_2607	Al_scaffold_0001_2607	87	Predicted protein
59689.Al_scaffold_0001_2609	Al_scaffold_0001_2609	92	Predicted protein
59689.Al_scaffold_0001_2610	Al_scaffold_0001_2610	197	Predicted protein
59689.Al_scaffold_0001_2624	Al_scaffold_0001_2624	976	Predicted protein
59689.Al_scaffold_0001_2632	Al_scaffold_0001_2632	214	Predicted protein
59689.Al_scaffold_0001_2641	Al_scaffold_0001_2641	861	Predicted protein
59689.Al_scaffold_0001_2651	Al_scaffold_0001_2651	196	Predicted protein
59689.Al_scaffold_0001_2660	Al_scaffold_0001_2660	2538	Predicted protein
59689.Al_scaffold_0001_2665	Al_scaffold_0001_2665	455	Predicted protein
59689.Al_scaffold_0001_2669	Al_scaffold_0001_2669	443	Predicted protein
59689.Al_scaffold_0001_2671	Al_scaffold_0001_2671	1194	Predicted protein
59689.Al_scaffold_0001_2701	Al_scaffold_0001_2701	313	Predicted protein
59689.Al_scaffold_0001_2706	Al_scaffold_0001_2706	340	Predicted protein
59689.Al_scaffold_0001_2714	Al_scaffold_0001_2714	567	Predicted protein
59689.Al_scaffold_0001_2723	Al_scaffold_0001_2723	384	Predicted protein
59689.Al_scaffold_0001_2743	Al_scaffold_0001_2743	385	Predicted protein
59689.Al_scaffold_0001_2747	Al_scaffold_0001_2747	414	Predicted protein
59689.Al_scaffold_0001_275	Al_scaffold_0001_275	460	Predicted protein
59689.Al_scaffold_0001_2755	Al_scaffold_0001_2755	122	Predicted protein
59689.Al_scaffold_0001_2758	Al_scaffold_0001_2758	387	Predicted protein
59689.Al_scaffold_0001_2760	Al_scaffold_0001_2760	77	Predicted protein
59689.Al_scaffold_0001_278	Al_scaffold_0001_278	265	Predicted protein
59689.Al_scaffold_0001_2798	Al_scaffold_0001_2798	349	Predicted protein
59689.Al_scaffold_0001_2803	Al_scaffold_0001_2803	53	Predicted protein
59689.Al_scaffold_0001_2825	Al_scaffold_0001_2825	647	Predicted protein
59689.Al_scaffold_0001_2829	Al_scaffold_0001_2829	172	Predicted protein
59689.Al_scaffold_0001_283	Al_scaffold_0001_283	407	Predicted protein
59689.Al_scaffold_0001_2836	Al_scaffold_0001_2836	249	Predicted protein
59689.Al_scaffold_0001_2837	Al_scaffold_0001_2837	2520	Predicted protein
59689.Al_scaffold_0001_2840	Al_scaffold_0001_2840	250	Predicted protein
59689.Al_scaffold_0001_2841	Al_scaffold_0001_2841	70	Predicted protein
59689.Al_scaffold_0001_285	Al_scaffold_0001_285	209	Predicted protein
59689.Al_scaffold_0001_2852	Al_scaffold_0001_2852	77	Predicted protein
59689.Al_scaffold_0001_2861	Al_scaffold_0001_2861	1838	Predicted protein
59689.Al_scaffold_0001_2876	Al_scaffold_0001_2876	145	Predicted protein
59689.Al_scaffold_0001_288	Al_scaffold_0001_288	252	Predicted protein
59689.Al_scaffold_0001_2882	Al_scaffold_0001_2882	667	Predicted protein
59689.Al_scaffold_0001_2888	Al_scaffold_0001_2888	55	Predicted protein
59689.Al_scaffold_0001_2899	Al_scaffold_0001_2899	327	Sulfotransferase; Belongs to the sulfotransferase 1 family
59689.Al_scaffold_0001_2915	Al_scaffold_0001_2915	53	Predicted protein
59689.Al_scaffold_0001_2919	Al_scaffold_0001_2919	210	Predicted protein
59689.Al_scaffold_0001_2936	Al_scaffold_0001_2936	188	Predicted protein
59689.Al_scaffold_0001_294	Al_scaffold_0001_294	876	Predicted protein
59689.Al_scaffold_0001_2941	Al_scaffold_0001_2941	218	Predicted protein
59689.Al_scaffold_0001_2942	Al_scaffold_0001_2942	375	Predicted protein
59689.Al_scaffold_0001_2945	Al_scaffold_0001_2945	808	Predicted protein; Belongs to the 'GDSL' lipolytic enzyme family
59689.Al_scaffold_0001_2947	Al_scaffold_0001_2947	1392	Predicted protein; Belongs to the 'GDSL' lipolytic enzyme family
59689.Al_scaffold_0001_2953	Al_scaffold_0001_2953	117	Predicted protein
59689.Al_scaffold_0001_2958	Al_scaffold_0001_2958	1057	Predicted protein
59689.Al_scaffold_0001_2959	Al_scaffold_0001_2959	521	Predicted protein
59689.Al_scaffold_0001_2967	Al_scaffold_0001_2967	141	Predicted protein
59689.Al_scaffold_0001_2984	Al_scaffold_0001_2984	175	Predicted protein
59689.Al_scaffold_0001_2985	Al_scaffold_0001_2985	123	Predicted protein
59689.Al_scaffold_0001_2990	Al_scaffold_0001_2990	203	Predicted protein
59689.Al_scaffold_0001_2996	Al_scaffold_0001_2996	230	Predicted protein
59689.Al_scaffold_0001_2997	Al_scaffold_0001_2997	482	Predicted protein
59689.Al_scaffold_0001_2998	Al_scaffold_0001_2998	799	Predicted protein
59689.Al_scaffold_0001_2999	Al_scaffold_0001_2999	744	Predicted protein; Belongs to the complex I 75 kDa subunit family
59689.Al_scaffold_0001_3008	Al_scaffold_0001_3008	190	Predicted protein
59689.Al_scaffold_0001_3009	Al_scaffold_0001_3009	242	Predicted protein
59689.Al_scaffold_0001_3014	Al_scaffold_0001_3014	162	Predicted protein
59689.Al_scaffold_0001_3020	Al_scaffold_0001_3020	121	Predicted protein
